0	0	0	
0.0286	0	0.280566	
0.0572	0.00802419	0.559702	
0.0858	0.0240317	0.838838	
0.1144	0.0480224	1.12169	
0.143	0.0801028	1.4034	
0.1716	0.12024	1.68397	
0.2002	0.168402	1.96396	
0.2288	0.224571	2.24567	
0.2574	0.288797	2.52567	
0.286	0.361031	2.80795	
0.3146	0.441338	3.09137	
0.3432	0.529752	3.37251	
0.3718	0.626206	3.65222	
0.4004	0.730659	3.93422	
0.429	0.843178	4.21335	
0.4576	0.96368	4.49163	
0.4862	1.09214	4.77162	
0.5148	1.22861	9.31302	
0.5434	1.49496	13.5349	
0.572	1.88206	17.6588	
0.6006	2.3871	21.6322	
0.6292	3.00578	25.5607	
0.6578	3.73682	29.6199	
0.6864	4.58395	33.897	
0.715	5.5534	38.2173	
0.7436	6.64642	42.5025	
0.7722	7.86199	46.8562	
0.8008	9.20207	51.2052	
0.8294	10.6665	55.577	
0.858	12.256	59.9322	
0.8866	13.9701	64.3283	
0.9152	15.8099	68.7241	
0.9438	17.7754	73.107	
0.9724	19.8663	77.5495	
1.001	22.0842	81.9584	
1.0296	24.4282	86.3854	
1.0582	26.8988	90.8073	
1.0868	29.4959	95.2726	
1.1154	32.2207	99.645	
1.144	35.0705	104.023	
1.1726	38.0456	108.389	
1.2012	41.1455	112.713	
1.2298	44.3691	116.975	
1.2584	47.7146	121.217	
1.287	51.1814	125.422	
1.3156	54.7685	129.557	
1.3442	58.4738	133.632	
1.3728	62.2957	137.728	
1.4014	66.2347	141.802	
1.43	70.2902	145.757	
1.4586	74.4589	149.656	
1.4872	78.7391	153.443	
1.5158	83.1275	157.195	
1.5444	87.6233	160.888	
1.573	92.2247	164.475	
1.6016	96.9287	167.935	
1.6302	101.732	171.193	
1.6588	106.628	174.329	
1.6874	111.614	177.254	
1.716	116.683	180.034	
1.7446	121.832	182.338	
1.7732	127.047	183.391	
1.8018	132.292	183.621	
1.8304	137.543	183.766	
1.859	142.799	183.877	
1.8876	148.058	184.012	
1.9162	153.321	184.143	
1.9448	158.587	184.263	
1.9734	163.857	184.375	
2.002	169.13	184.312	
2.0306	174.402	183.992	
2.0592	179.664	183.347	
2.0878	184.907	182.556	
2.1164	190.129	181.832	
2.145	195.329	181.097	
2.1736	200.508	180.363	
2.2022	205.667	179.642	
2.2308	210.804	178.906	
2.2594	215.921	178.184	
2.288	221.017	177.464	
2.3166	226.093	176.758	
2.3452	231.148	176.062	
2.3738	236.183	175.38	
2.4024	241.199	174.726	
2.431	246.196	174.078	
2.4596	251.175	173.452	
2.4882	256.136	172.828	
2.5168	261.079	172.209	
2.5454	266.004	171.584	
2.574	270.911	170.971	
2.6026	275.801	170.336	
2.6312	280.673	169.734	
2.6598	285.527	169.149	
2.6884	290.365	168.56	
2.717	295.185	167.964	
2.7456	299.989	167.37	
2.7742	304.776	166.836	
2.8028	309.547	166.287	
2.8314	314.303	165.738	
2.86	319.043	165.198	
2.8886	323.768	164.674	
2.9172	328.478	164.102	
2.9458	333.171	163.599	
2.9744	337.85	163.098	
3.003	342.515	162.586	
3.0316	347.165	162.084	
3.0602	351.8	161.6	
3.0888	356.422	161.117	
3.1174	361.03	160.615	
3.146	365.623	160.139	
3.1746	370.203	159.67	
3.2032	374.77	159.205	
3.2318	379.323	158.754	
3.2604	383.864	158.306	
3.289	388.391	157.88	
3.3176	392.907	157.454	
3.3462	397.41	157.012	
3.3748	401.9	156.588	
3.4034	406.379	156.167	
3.432	410.845	155.739	
3.4606	415.299	155.327	
3.4892	419.742	154.928	
3.5178	424.173	154.534	
3.5464	428.592	154.147	
3.575	433.001	153.769	
3.6036	437.399	153.387	
3.6322	441.785	153.009	
3.6608	446.162	152.651	
3.6894	450.527	152.298	
3.718	454.883	151.941	
3.7466	459.229	151.579	
3.7752	463.564	151.239	
3.8038	467.889	150.905	
3.8324	472.205	150.562	
3.861	476.511	150.226	
3.8896	480.808	149.885	
3.9182	485.094	149.538	
3.9468	489.371	149.213	
3.9754	493.639	148.893	
4.004	497.897	148.573	
4.0326	502.146	148.261	
4.0612	506.386	147.948	
4.0898	510.618	147.643	
4.1184	514.84	147.332	
4.147	519.054	147.024	
4.1756	523.259	146.725	
4.2042	527.455	146.423	
4.2328	531.643	146.119	
4.2614	535.822	145.824	
4.29	539.993	145.527	
4.3186	544.155	145.237	
4.3472	548.308	144.968	
4.3758	552.454	144.702	
4.4044	556.593	144.431	
4.433	560.724	144.169	
4.4616	564.847	143.911	
4.4902	568.963	143.7	
4.5188	573.073	143.429	
4.5474	577.175	143.175	
4.576	581.269	142.925	
4.6046	585.357	142.69	
4.6332	589.438	142.447	
4.6618	593.512	142.199	
4.6904	597.579	141.966	
4.719	601.639	141.73	
4.7476	605.693	141.501	
4.7762	609.739	141.276	
4.8048	613.78	141.049	
4.8334	617.814	140.83	
4.862	621.842	140.608	
4.8906	625.863	140.387	
4.9192	629.878	140.165	
4.9478	633.887	139.96	
4.9764	637.89	139.74	
5.005	641.886	139.534	
5.0336	645.877	139.343	
5.0622	649.862	139.153	
5.0908	653.842	138.953	
5.1194	657.816	138.754	
5.148	661.784	138.555	
5.1766	665.747	138.371	
5.2052	669.704	138.184	
5.2338	673.657	138.007	
5.2624	677.604	137.828	
5.291	681.545	137.643	
5.3196	685.482	137.452	
5.3482	689.413	137.281	
5.3768	693.339	137.11	
5.4054	697.261	136.935	
5.434	701.177	136.765	
5.4626	705.089	136.6	
5.4912	708.995	136.444	
5.5198	712.898	136.285	
5.5484	716.795	136.123	
5.577	720.688	135.961	
